DATE,MEDCPIM158SFRBCLE
1983-01-01,5.01465339985201
1983-02-01,4.95254511658214
1983-03-01,3.61226055575943
1983-04-01,4.8280541519995195
1983-05-01,3.76732629829308
1983-06-01,2.44129775124315
1983-07-01,3.69758219019019
1983-08-01,4.8969903682566205
1983-09-01,4.8378278722189805
1983-10-01,4.70970672176305
1983-11-01,4.88207173553306
1983-12-01,3.6267656935563797
1984-01-01,4.8524904574294405
1984-02-01,4.6323774287993205
1984-03-01,3.9232261628567002
1984-04-01,4.47375381987558
1984-05-01,3.3975048040301203
1984-06-01,4.54047640450119
1984-07-01,4.70970672176305
1984-08-01,4.69130811372347
1984-09-01,4.47687654026121
1984-10-01,3.4965341186496497
1984-11-01,2.60802524955723
1984-12-01,3.5203139041378497
1985-01-01,3.07490272291309
1985-02-01,5.60339750649217
1985-03-01,4.714338130800599
1985-04-01,4.49361632464027
1985-05-01,3.30709306957033
1985-06-01,4.93736852619913
1985-07-01,2.4314834419624702
1985-08-01,3.4596356346455495
1985-09-01,3.4496080178934503
1985-10-01,3.4628544852426404
1985-11-01,5.39203871117875
1985-12-01,3.08316960669681
1986-01-01,4.42330037720973
1986-02-01,3.17019109552263
1986-03-01,4.38684814912311
1986-04-01,4.16962440517514
1986-05-01,2.24297330698615
1986-06-01,3.39428781716422
1986-07-01,4.01960626544133
1986-08-01,3.28286363623527
1986-09-01,4.0014431118512
1986-10-01,4.17062103943193
1986-11-01,4.60573723276012
1986-12-01,3.92745273377464
1987-01-01,5.35829784555726
1987-02-01,3.337758063505
1987-03-01,3.7989855746732
1987-04-01,4.732865770015731
1987-05-01,4.5063604166125
1987-06-01,2.8685574671557497
1987-07-01,4.18781448084542
1987-08-01,3.3130276025440604
1987-09-01,5.2275814008822
1987-10-01,3.78495509165797
1987-11-01,3.3252684401102104
1987-12-01,2.84011303455471
1988-01-01,3.3185913873762
1988-02-01,2.90883516980707
1988-03-01,4.41918005237509
1988-04-01,4.73749799282637
1988-05-01,3.41359123842682
1988-06-01,4.67303747445387
1988-07-01,4.5707267155337306
1988-08-01,5.27348496252884
1988-09-01,5.00938206866559
1988-10-01,4.27269773492314
1988-11-01,2.9566454722601603
1988-12-01,3.95007987430633
1989-01-01,4.6814217758314
1989-02-01,5.20947642461538
1989-03-01,5.03461040058517
1989-04-01,4.87906302071213
1989-05-01,5.3880092744515595
1989-06-01,3.8550011584869397
1989-07-01,5.814260243977491
1989-08-01,2.8558736840948997
1989-09-01,3.47288290755019
1989-10-01,5.16912809772758
1989-11-01,4.1625237636602
1989-12-01,3.7701813758958
1990-01-01,5.216139934786219
1990-02-01,4.981650393083201
1990-03-01,5.2504678803871
1990-04-01,5.3143738222831205
1990-05-01,3.9664938072334395
1990-06-01,5.6279993107079
1990-07-01,5.30267168754286
1990-08-01,5.66560606341413
1990-09-01,2.8167227080654595
1990-10-01,4.5533504844391395
1990-11-01,3.61399611524087
1990-12-01,5.05582611888307
1991-01-01,5.5627844862673
1991-02-01,4.3550241753906
1991-03-01,3.65528536937658
1991-04-01,3.37276123638892
1991-05-01,4.46850763239142
1991-06-01,2.90193641246452
1991-07-01,4.44203031238106
1991-08-01,3.08983246488028
1991-09-01,4.0654000776027
1991-10-01,2.3353501360496898
1991-11-01,4.29177716897127
1991-12-01,2.64599695624381
1992-01-01,1.73273035529145
1992-02-01,2.58885958946806
1992-03-01,3.78706590402491
1992-04-01,2.4282942622323196
1992-05-01,2.80232154164044
1992-06-01,4.28890893910334
1992-07-01,1.77845400998218
1992-08-01,2.1172726558109902
1992-09-01,1.8647095813975099
1992-10-01,3.78383780857443
1992-11-01,3.27594189784477
1992-12-01,1.87801390592812
1993-01-01,3.4429238476257495
1993-02-01,2.2966258694632598
1993-03-01,1.7007959361273102
1993-04-01,4.09652033621579
1993-05-01,2.97550405217233
