DATE,BOPGSTB
2015-04-01,-39836.0
2015-05-01,-38502.0
2015-06-01,-42425.0
2015-07-01,-40340.0
2015-08-01,-44205.0
2015-09-01,-41641.0
2015-10-01,-40873.0
2015-11-01,-40451.0
2015-12-01,-41003.0
2016-01-01,-40044.0
2016-02-01,-43306.0
2016-03-01,-36801.0
2016-04-01,-38048.0
2016-05-01,-39032.0
2016-06-01,-41719.0
2016-07-01,-39931.0
2016-08-01,-40146.0
2016-09-01,-37004.0
2016-10-01,-38555.0
2016-11-01,-43896.0
2016-12-01,-40976.0
2017-01-01,-43616.0
2017-02-01,-39678.0
2017-03-01,-41055.0
2017-04-01,-44258.0
2017-05-01,-43972.0
2017-06-01,-42631.0
2017-07-01,-42274.0
2017-08-01,-40648.0
2017-09-01,-40648.0
2017-10-01,-41650.0
2017-11-01,-44045.0
2017-12-01,-45868.0
2018-01-01,-46809.0
2018-02-01,-48929.0
2018-03-01,-43735.0
2018-04-01,-45435.0
2018-05-01,-41672.0
2018-06-01,-45138.0
2018-07-01,-49658.0
2018-08-01,-49233.0
2018-09-01,-50891.0
2018-10-01,-52475.0
2018-11-01,-49550.0
2018-12-01,-55070.0
2019-01-01,-48874.0
2019-02-01,-47196.0
2019-03-01,-49138.0
2019-04-01,-48979.0
2019-05-01,-50544.0
2019-06-01,-48902.0
2019-07-01,-48351.0
2019-08-01,-48233.0
2019-09-01,-44958.0
2019-10-01,-41926.0
2019-11-01,-38684.0
2019-12-01,-43891.0
2020-01-01,-44357.0
2020-02-01,-40501.0
2020-03-01,-44847.0
2020-04-01,-52246.0
2020-05-01,-54367.0
2020-06-01,-48972.0
2020-07-01,-58818.0
2020-08-01,-61115.0
2020-09-01,-59105.0
2020-10-01,-62107.0
2020-11-01,-64985.0
2020-12-01,-62570.0
2021-01-01,-63828.0
2021-02-01,-65294.0
2021-03-01,-68069.0
2021-04-01,-65724.0
2021-05-01,-66633.0
2021-06-01,-71357.0
2021-07-01,-69382.0
2021-08-01,-71426.0
2021-09-01,-78334.0
2021-10-01,-68156.0
2021-11-01,-77977.0
2021-12-01,-78867.0
2022-01-01,-87447.0
2022-02-01,-87251.0
2022-03-01,-106445.0
2022-04-01,-85975.0
2022-05-01,-85446.0
2022-06-01,-80773.0
2022-07-01,-69770.0
2022-08-01,-64557.0
2022-09-01,-72638.0
2022-10-01,-77161.0
2022-11-01,-60646.0
2022-12-01,-67210.0
2023-01-01,-68661.0
2023-02-01,-70535.0
